12/01/2025;Juan_López;Parque_de_La_Vega;6
12/01/2025;María_González;Parque_San_Isidro;5
13/01/2025;Luis_Méndez;Parque_de_La_Vega;7
14/01/2025;Ana_Romero;Parque_Los_Pinos;4
15/01/2025;Carlos_Santos;Parque_San_Isidro;6
16/01/2025;Lucía_Martín;Parque_de_La_Vega;5
17/01/2025;Pedro_Castro;Parque_Los_Pinos;8
18/01/2025;Sara_Nieto;Parque_San_Isidro;6
19/01/2025;Jorge_Ruiz;Parque_de_La_Vega;7
20/01/2025;Elena_Prieto;Parque_Los_Pinos;4
21/01/2025;Mario_Díaz;Parque_San_Isidro;6
2025/01/22;Carmen_Suárez;Parque_de_La_Vega;5
23/01/2025;Iván_Garrido;Parque_Los_Pinos;7
24/01/2025;Patricia_Lago;Parque_San_Isidro;6
25/01/2025;Óscar_Rey;Parque_de_La_Vega;5
26/01/2025;Nuria_Casas;Parque_Los_Pinos;4
27/01/2025;Tomás_Varela;Parque_San_Isidro;7
28/01/2025;Raquel_Mato;Parque_de_La_Vega;6
29/01/2025;Hugo_Prieto;Parque_Los_Pinos;-5
30/01/2025;31/01/2025;Marta_Salgado;Parque_San_Isidro;6
